iter	Passed	Remaining
407	5360	20917
408	5373	20903
409	5386	20888
410	5400	20877
411	5413	20863
412	5425	20848
413	5437	20831
414	5449	20815
415	5462	20798
416	5474	20783
417	5487	20766
418	5499	20751
419	5511	20735
420	5524	20719
421	5536	20703
422	5549	20688
423	5561	20673
424	5574	20657
425	5586	20639
426	5597	20621
427	5610	20605
428	5622	20589
429	5635	20574
430	5647	20559
431	5660	20544
432	5673	20531
433	5685	20515
434	5698	20500
435	5710	20483
436	5723	20472
437	5736	20457
438	5748	20441
439	5762	20429
440	5774	20415
441	5787	20401
442	5800	20386
443	5813	20372
444	5825	20356
445	5837	20340
446	5849	20324
447	5862	20309
448	5874	20293
449	5886	20276
450	5899	20261
451	5911	20244
452	5923	20228
453	5935	20213
454	5949	20201
455	5962	20187
456	5974	20171
457	5987	20157
458	6000	20144
459	6013	20131
460	6026	20119
461	6038	20103
462	6051	20089
463	6067	20084
464	6081	20075
465	6095	20065
466	6108	20052
467	6121	20038
468	6135	20027
469	6148	20013
470	6160	19999
471	6173	19985
472	6185	19969
473	6198	19954
474	6211	19941
475	6224	19928
476	6237	19915
477	6250	19901
478	6263	19888
479	6275	19872
480	6289	19860
481	6302	19850
482	6317	19841
483	6331	19831
484	6344	19817
485	6356	19802
486	6369	19788
487	6383	19778
488	6396	19765
489	6409	19751
490	6422	19737
491	6434	19722
492	6447	19708
493	6460	19695
494	6473	19683
495	6487	19670
496	6500	19657
497	6512	19642
498	6525	19629
499	6538	19615
500	6550	19600
501	6563	19585
502	6576	19572
503	6588	19557
504	6601	19542
505	6613	19527
506	6626	19514
507	6640	19502
508	6653	19489
509	6666	19476
510	6678	19460
511	6691	19448
512	6705	19436
513	6718	19422
514	6731	19409
515	6744	19395
516	6757	19382
517	6769	19368
518	6782	19355
519	6795	19340
520	6807	19325
521	6820	19311
522	6832	19296
523	6845	19283
524	6858	19268
525	6871	19254
526	6883	19241
527	6896	19226
528	6908	19210
529	6920	19195
530	6933	19182
531	6946	19168
532	6959	19156
533	6972	19141
534	6984	19125
535	6997	19111
536	7009	19096
537	7021	19081
538	7034	19066
539	7046	19052
540	7060	19039
541	7072	19026
542	7084	19010
543	7097	18996
544	7110	18982
545	7123	18968
546	7135	18954
547	7149	18942
548	7161	18928
549	7174	18915
550	7187	18901
551	7199	18886
552	7212	18873
553	7225	18858
554	7237	18842
555	7250	18829
556	7262	18815
557	7276	18803
558	7289	18790
559	7302	18777
560	7315	18763
561	7328	18751
562	7341	18738
563	7354	18724
564	7366	18710
565	7379	18697
566	7392	18683
567	7409	18680
568	7423	18670
569	7435	18655
570	7447	18639
571	7460	18625
572	7473	18611
573	7486	18597
574	7498	18583
575	7511	18570
576	7524	18557
577	7537	18543
578	7549	18528
579	7562	18515
580	7575	18500
581	7587	18485
582	7600	18472
583	7612	18457
584	7625	18443
585	7638	18430
586	7650	18416
587	7663	18402
588	7676	18390
589	7689	18377
590	7702	18363
591	7715	18351
592	7728	18337
593	7741	18323
594	7754	18310
595	7767	18297
596	7780	18284
597	7793	18270
598	7805	18256
599	7818	18244
600	7831	18230
601	7843	18215
602	7856	18201
603	7868	18186
604	7881	18173
605	7894	18159
606	7906	18144
607	7919	18131
608	7932	18118
609	7945	18105
610	7957	18090
611	7970	18076
612	7983	18063
613	7995	18049
614	8008	18034
615	8021	18022
616	8034	18009
617	8048	17997
618	8062	17988
619	8077	17978
620	8090	17965
621	8103	17952
622	8116	17939
623	8129	17927
624	8142	17913
625	8155	17900
626	8169	17888
627	8182	17876
628	8196	17865
629	8210	17853
630	8224	17843
631	8237	17830
632	8250	17817
633	8263	17804
634	8277	17792
635	8290	17779
636	8302	17765
637	8316	17754
638	8328	17739
639	8342	17727
640	8355	17714
641	8368	17702
642	8383	17692
643	8395	17677
644	8408	17663
645	8420	17649
646	8436	17641
647	8449	17630
648	8462	17615
649	8475	17602
650	8488	17589
651	8500	17575
652	8513	17561
653	8525	17546
654	8537	17531
655	8550	17517
656	8562	17503
657	8575	17489
658	8587	17474
659	8600	17460
660	8612	17446
661	8625	17433
662	8637	17417
663	8649	17402
664	8661	17389
665	8674	17374
666	8686	17359
667	8707	17362
668	8720	17349
669	8732	17335
670	8744	17319
671	8757	17305
672	8769	17290
673	8781	17275
674	8793	17261
675	8805	17246
676	8818	17232
677	8830	17218
678	8842	17204
679	8856	17191
680	8868	17177
681	8880	17162
682	8893	17148
683	8905	17134
684	8918	17121
685	8931	17107
686	8944	17095
687	8958	17083
688	8971	17070
689	8985	17058
690	8998	17046
691	9011	17033
692	9025	17022
693	9039	17010
694	9051	16996
695	9064	16982
696	9076	16968
697	9089	16955
698	9102	16942
699	9115	16929
700	9128	16915
701	9140	16901
702	9154	16888
703	9167	16876
704	9180	16863
705	9193	16849
706	9205	16835
707	9218	16822
708	9230	16808
709	9243	16794
710	9257	16783
711	9270	16769
712	9282	16755
713	9295	16741
714	9308	16728
715	9320	16715
716	9333	16701
717	9346	16687
718	9359	16675
719	9371	16661
720	9384	16648
721	9397	16634
722	9410	16620
723	9422	16607
724	9435	16592
725	9447	16579
726	9459	16564
727	9473	16551
728	9485	16538
729	9498	16523
730	9510	16509
731	9522	16495
732	9535	16481
733	9547	16467
734	9560	16453
735	9572	16440
736	9585	16426
737	9597	16412
738	9611	16400
739	9623	16386
740	9636	16372
741	9648	16358
742	9661	16345
743	9674	16331
744	9686	16317
745	9698	16302
746	9710	16288
747	9723	16275
748	9736	16261
749	9748	16247
750	9760	16233
751	9772	16218
752	9785	16205
753	9798	16191
754	9810	16178
755	9823	16164
756	9835	16149
757	9848	16136
758	9861	16123
759	9873	16110
760	9886	16096
761	9898	16081
762	9910	16067
763	9923	16054
764	9936	16041
765	9948	16027
766	9961	16013
767	9974	16001
768	9987	15987
769	10000	15974
770	10013	15961
771	10026	15948
772	10039	15935
773	10051	15921
774	10063	15907
775	10075	15892
776	10088	15879
777	10102	15867
778	10115	15854
779	10127	15840
780	10141	15829
781	10155	15817
782	10168	15804
783	10181	15791
784	10195	15779
785	10208	15767
786	10221	15754
787	10234	15741
788	10247	15727
789	10259	15714
790	10274	15703
791	10286	15690
792	10300	15678
793	10313	15664
794	10327	15653
795	10340	15640
796	10353	15627
797	10366	15615
798	10379	15601
799	10392	15588
800	10404	15574
801	10417	15561
802	10431	15549
803	10444	15536
804	10457	15523
805	10470	15510
806	10483	15498
807	10497	15486
808	10510	15473
809	10523	15460
810	10536	15447
811	10548	15433
812	10561	15419
813	10575	15407
814	10588	15394
815	10601	15381
816	10614	15369
817	10627	15356
818	10640	15344
819	10654	15331
820	10667	15318
821	10680	15305
822	10692	15292
823	10706	15279
824	10718	15266
825	10731	15253
826	10744	15239
827	10756	15225
828	10769	15211
829	10781	15198
830	10794	15185
831	10807	15171
832	10820	15158
833	10832	15145
834	10845	15131
835	10857	15117
836	10870	15103
837	10883	15091
838	10896	15077
839	10908	15064
840	10920	15050
841	10933	15036
842	10945	15023
843	10958	15009
844	10971	14996
845	10984	14983
846	10997	14970
847	11009	14956
848	11022	14943
849	11035	14931
850	11049	14919
851	11062	14906
852	11075	14893
853	11088	14880
854	11101	14866
855	11114	14853
856	11126	14840
857	11139	14826
858	11152	14814
859	11166	14802
860	11179	14789
861	11193	14777
862	11206	14764
863	11219	14751
864	11233	14739
865	11246	14727
866	11259	14714
867	11272	14701
868	11286	14689
