iter	Logloss
0	0.6778254509
1	0.6630750839
2	0.6486965185
3	0.6347059039
4	0.6210650692
5	0.6078685508
6	0.595111682
7	0.5826613884
8	0.5705745071
9	0.5588787752
10	0.5474591548
11	0.5363862206
12	0.525665216
13	0.5152669358
14	0.505088297
15	0.4952427118
16	0.4857591758
17	0.47643556
18	0.4674524958
19	0.4585771812
20	0.4501456061
21	0.4419022127
22	0.4338752359
23	0.4260831586
24	0.4185305159
25	0.4111806051
26	0.4040650954
27	0.3971272808
28	0.3903852768
29	0.3839026321
30	0.3775405044
31	0.3713996172
32	0.3653838349
33	0.3596240824
34	0.3539570575
35	0.3485089398
36	0.3431878408
37	0.3380261902
38	0.3330721739
39	0.328199376
40	0.3234983746
41	0.3189426646
42	0.3145384857
43	0.3102214241
44	0.3060614251
45	0.3019529415
46	0.2979957267
47	0.2941548343
48	0.2904030778
49	0.286744311
50	0.2832294463
51	0.2798180841
52	0.2764657089
53	0.2732475357
54	0.2701651112
55	0.2670877727
56	0.2641236105
57	0.2612623479
58	0.2584950975
59	0.2557512846
60	0.2531353031
61	0.2505710203
62	0.2480608221
63	0.2456499843
64	0.2432878041
65	0.2409576604
66	0.2387485843
67	0.23659278
68	0.2344960937
69	0.2324380243
70	0.2304306575
71	0.2284598888
72	0.2265243289
73	0.2246813391
74	0.2228909658
75	0.2211494599
76	0.2194578964
77	0.2178080039
78	0.2162056418
79	0.2146268089
80	0.213105626
81	0.2116238596
82	0.2102045931
83	0.2088145842
84	0.2074510277
85	0.2061234401
86	0.2048484559
87	0.203602467
88	0.2023817245
89	0.2011834758
90	0.1999999738
91	0.1988732042
92	0.1977831638
93	0.1967131921
94	0.1956661991
95	0.1946768037
96	0.1936790714
97	0.1927197462
98	0.1917723233
99	0.1908644872
100	0.1899805867
101	0.1891046691
102	0.1882304294
103	0.1873881344
104	0.1865750052
105	0.1858017644
106	0.1850453676
107	0.1842830852
108	0.1835508599
109	0.1828421508
110	0.1821558436
111	0.1814876914
112	0.1808249921
113	0.1801762663
114	0.1795515809
115	0.1789437133
116	0.1783362783
117	0.1777535261
118	0.1771921272
119	0.1766416212
120	0.1760848757
121	0.1755559852
122	0.1750249843
123	0.1745178534
124	0.1740174077
125	0.1735439519
126	0.1730712301
127	0.1726037254
128	0.172147769
129	0.1717118944
130	0.1712955904
131	0.1708833368
132	0.1704701395
133	0.1700743629
134	0.169680238
135	0.1693093409
136	0.168939925
